,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Index,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Recom,SMA20,SMA50,SMA200
"0,1,A,""Agilent Technologies, Inc."",Healthcare,Diagnostics & Research,USA,44.89B,36.74,144.68,-0.34%,""2,198,417"",S&P 500,3.94,0.20%,302.00M,-0.32%,27.08,10.37%,-19.27%,301.14M,-6.24%,1.21B,2.62,1.18,90.70%,1.42%,-5.60%,6.32B,7.10,71.00%,0.22%,2.66,-1.97%,17.90,8.08,11.70%,175.32,14.63%,5.08,28.50,14.00%,24.30%,112.47 - 179.57,-9.38%,0.84,42.31,22.90%,14.70%,-19.43%,1.01,0.58%,1.70,8.50%,53.90%,28.64%,3.77,17000,2.20,11.90%,21.30%,36.66,2.49% 2.41%,Yes,0.51,102.30%,19.10%,1.37,145.17,Yes,0.51,Nov 22 AMC,19.10%,1.61M,-,-5.35%,-6.62%,-4.35%"
"11,12,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,27.78B,18.44,136.20,0.97%,""919,128"",S&P 500,7.39,0.20%,207.91M,2.31%,11.88,7.42%,-42.82%,148.76M,10.04%,1.54B,1.72,2.55,65.40%,1.37%,13.63%,213.99B,0.13,144.40%,0.22%,2.28,20.96%,1.07,127.29,3.00%,146.92,27.53%,14.32,9.51,10.74%,-858.30%,100.71 - 136.95,2.49%,1.84,14.94,3.20%,24.30%,-0.54%,0.51,1.35%,0.60,7.80%,3.20%,35.24%,2.62,42000,0.90,19.60%,1.10%,67.90,2.05% 1.95%,Yes,29.92,108.70%,0.70%,1.03,134.89,Yes,28.58,Feb 02 BMO,23.50%,892.42K,2.20,3.73%,8.12%,12.54%"
"12,13,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,3.84B,9.91,55.27,0.24%,""354,764"",-,5.58,0.50%,69.44M,2.22%,12.10,-15.43%,0.23%,65.98M,14.43%,389.30M,1.24,1.18,92.70%,3.07%,6.53%,703.50M,5.46,37.00%,0.03%,5.36,21.26%,41.77,1.32,1.80%,60.43,25.33%,54.38,1.02,8.00%,14.00%,36.60 - 59.85,11.25%,0.60,40.96,24.30%,13.80%,-7.65%,1.26,1.09%,-,30.70%,-,51.01%,1.47,2671,-,-3.80%,96.80%,70.42,2.60% 2.86%,Yes,0.17,-30.10%,55.30%,0.94,55.14,Yes,0.17,Jan 27 AMC,10.70%,377.84K,2.10,8.24%,7.50%,7.43%"
"13,14,ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,2.89B,14.06,10.05,-7.46%,""3,506,153"",-,0.71,21.00%,278.93M,-14.97%,-,-116.00%,0.10%,196.40M,-22.63%,210.50M,1.41,0.18,43.60%,5.38%,-35.29%,443.80M,6.52,11.10%,0.08%,5.79,-38.79%,3.42,2.94,18.90%,38.88,-77.37%,1.80,5.59,10.00%,22.70%,10.83 - 55.22,-29.72%,-,13.65,-,13.60%,-81.80%,-,-,16.20,-,-,-7.20%,0.97,206,16.20,-78.20%,63.90%,26.91,7.33% 7.96%,Yes,0.00,-,47.40%,1.92,10.86,Yes,0.00,Nov 09 AMC,0.00%,1.83M,1.70,-25.60%,-29.63%,-49.11%"
"14,15,ABCM,Abcam plc,Healthcare,Biotechnology,USA,4.11B,182.04,17.84,-3.31%,""514,266"",-,0.10,-,219.60M,-14.89%,-,-,-,195.15M,-20.53%,21.90M,-,-,10.70%,0.23%,-17.60%,402.70M,10.22,-72.70%,4.88%,2.92,0.79%,3.88,4.60,1.80%,22.67,-22.43%,-,-,-,2.60%,17.14 - 24.69,-24.25%,-,120.29,-,2.00%,-27.74%,-,-,4.80,-,71.10%,4.08%,0.80,1650,5.60,18.30%,3.50%,23.74,3.63% 2.98%,No,0.19,-60.70%,4.20%,3.39,18.45,Yes,0.17,-,0.00%,151.54K,2.00,-18.61%,-20.35%,-14.01%"
"15,16,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,43.28B,15.63,2.75,1.10%,""10,794,281"",-,0.18,-,15.74B,6.18%,21.15,-7.10%,-,4.40B,1.22%,-,1.98,0.04,9.02%,0.77%,1.58%,69.40B,0.62,0.00%,-,1.44,-11.71%,5.51,0.50,-,3.51,-7.08%,-,-,7.90%,-,2.31 - 3.83,-1.79%,0.11,-,39.83%,-,-28.25%,-,4.00%,-,-,-,19.02%,0.07,50000,-,18.50%,-,53.93,2.60% 2.24%,Yes,-,56.20%,-,0.46,2.72,Yes,-,Oct 28 BMO,-,23.54M,3.00,2.09%,-2.40%,-8.04%"
"16,17,ABG,""Asbury Automotive Group, Inc."",Consumer Cyclical,Auto & Truck Dealerships,USA,3.85B,6.74,167.21,-0.10%,""235,354"",-,24.82,0.10%,19.30M,-4.54%,5.78,11.30%,0.00%,17.44M,-3.39%,481.00M,0.36,6.21,90.60%,8.00%,-20.61%,9.42B,0.41,38.00%,0.71%,3.93,-9.53%,67.42,2.48,13.40%,248.12,2.92%,14.36,11.65,18.50%,44.20%,137.96 - 230.96,-3.20%,-,3.94,15.50%,11.20%,-27.60%,1.52,-,1.10,1.60%,18.40%,21.20%,6.45,7600,1.70,30.40%,7.50%,44.92,4.32% 3.52%,Yes,1.16,52.00%,5.10%,0.66,167.37,Yes,1.02,Oct 26 BMO,0.00%,354.87K,2.20,-1.43%,-2.44%,-10.88%"
"17,18,ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,3.01B,24.30,45.17,0.65%,""469,215"",-,1.86,1.00%,67.70M,5.34%,11.93,10.89%,-1.32%,66.53M,10.49%,126.30M,1.52,0.80,97.80%,2.20%,0.07%,6.23B,0.48,-4.70%,-0.02%,3.67,1.26%,23.77,1.90,3.20%,56.75,9.66%,0.94,47.95,16.00%,7.90%,36.31 - 55.48,10.58%,0.78,13.15,11.10%,6.10%,-18.58%,1.29,1.73%,1.10,3.90%,15.60%,24.40%,1.34,124000,1.10,14.20%,3.30%,62.35,2.73% 2.83%,Yes,0.55,-35.50%,2.00%,1.18,44.88,Yes,0.53,Dec 15 BMO,40.20%,397.64K,2.00,8.40%,1.16%,-3.90%"
"18,19,ABMD,""Abiomed, Inc."",Healthcare,Medical Devices,USA,14.44B,92.63,301.22,-1.82%,""355,590"",S&P 500,3.25,1.40%,45.44M,-5.66%,60.49,18.54%,-12.02%,44.56M,-4.51%,149.20M,8.84,0.96,92.50%,2.50%,-14.27%,973.60M,14.83,11.40%,0.02%,3.99,-4.26%,30.47,9.89,10.10%,384.40,-8.64%,13.57,22.20,10.48%,11.30%,261.27 - 387.40,-16.13%,-,61.90,42.20%,12.50%,-22.25%,1.31,-,6.90,20.80%,81.90%,15.29%,13.19,1725,7.60,18.30%,14.90%,35.74,4.60% 3.88%,Yes,0.00,-8.90%,15.30%,1.27,306.79,Yes,0.00,Oct 28 BMO,0.00%,278.98K,2.50,-10.59%,-10.03%,-8.17%"
"19,20,ABNB,""Airbnb, Inc."",Consumer Cyclical,Travel Services,USA,98.79B,-,163.99,-1.21%,""4,075,178"",-,-7.23,3.90%,621.01M,-1.24%,177.86,245.30%,-17.58%,336.86M,-2.47%,-4294.40M,-,0.03,58.80%,3.35%,-3.07%,5.32B,18.57,-566.20%,-0.11%,1.89,24.35%,7.16,22.90,-33.10%,196.29,-3.12%,13.15,12.47,-,-123.50%,129.71 - 219.94,-1.50%,-,60.20,-,-74.20%,-25.44%,-,-,1.90,29.70%,62.00%,26.43%,7.92,5597,1.90,66.70%,-58.70%,45.57,4.95% 4.79%,Yes,0.45,232.40%,-80.70%,0.68,166.00,Yes,0.45,Nov 04 AMC,-,5.98M,2.40,-1.16%,-7.41%,1.14%"
"20,21,ABR,""Arbor Realty Trust, Inc."",Real Estate,REIT - Mortgage,USA,2.63B,8.62,18.48,-1.07%,""1,188,512"",-,2.15,1.20%,142.62M,-1.39%,9.65,-3.14%,0.39%,139.81M,4.94%,308.00M,1.08,0.49,43.90%,3.75%,-3.70%,755.80M,3.48,-4.00%,-0.01%,3.31,6.88%,11.55,1.60,3.30%,21.88,28.51%,2.67,6.91,8.00%,20.70%,14.01 - 20.74,0.87%,1.44,-,6.50%,1.70%,-10.90%,1.85,7.79%,-,33.50%,75.60%,31.91%,0.35,522,-,23.00%,48.70%,51.83,1.29% 1.93%,Yes,5.90,-25.80%,40.80%,0.75,18.68,Yes,5.90,Oct 29 BMO,56.30%,1.58M,2.20,1.39%,0.39%,1.73%"
"21,22,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,225.92B,31.58,128.16,-1.15%,""9,206,845"",S&P 500,4.06,0.20%,1.77B,-5.46%,26.90,-6.53%,-15.01%,1.76B,-5.46%,7.27B,2.41,1.19,75.50%,0.48%,9.08%,42.31B,5.34,24.50%,0.13%,1.53,7.89%,19.40,6.61,9.90%,144.68,15.15%,5.50,23.31,13.12%,21.50%,105.36 - 142.60,-8.94%,1.88,36.04,7.80%,9.70%,-10.13%,0.71,1.47%,1.40,11.10%,56.90%,21.64%,2.70,109000,1.80,23.40%,20.10%,32.41,2.09% 1.87%,Yes,0.53,70.30%,17.10%,1.68,129.65,Yes,0.51,Jan 26 BMO,41.90%,5.47M,2.00,-6.50%,-3.09%,4.14%"
"22,23,ACA,""Arcosa, Inc."",Industrials,Infrastructure Operations,USA,2.60B,36.00,52.41,0.31%,""257,912"",-,1.46,0.88%,48.20M,2.04%,27.58,9.83%,0.00%,47.91M,-2.80%,70.80M,8.78,0.21,94.00%,1.96%,0.75%,1.97B,1.32,-5.90%,0.47%,4.62,1.18%,40.27,1.30,2.40%,66.43,-16.99%,1.33,39.30,4.10%,3.70%,47.65 - 68.46,-0.55%,0.20,184.22,-4.70%,5.60%,-23.44%,-,0.38%,1.20,-2.00%,18.30%,9.99%,1.63,6410,2.10,14.10%,5.50%,49.58,2.85% 3.10%,Yes,0.39,-23.70%,3.60%,1.27,52.25,Yes,0.38,Nov 03 AMC,13.60%,202.57K,1.70,0.86%,-2.67%,-5.61%"
"23,24,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,3.84B,-,23.05,4.11%,""1,332,666"",-,-1.20,0.10%,160.66M,2.04%,-,11.80%,-7.69%,160.17M,-5.46%,-191.50M,-,-0.24,91.40%,4.13%,31.64%,474.40M,8.09,-12.00%,0.06%,3.98,-0.69%,3.53,6.53,-25.70%,28.89,-57.04%,3.25,7.10,25.00%,-32.70%,15.68 - 54.91,-1.24%,-,-,-1.80%,-45.80%,-58.02%,0.61,-,7.10,491.50%,95.40%,47.01%,1.41,570,7.30,9.10%,-40.70%,51.70,5.13% 6.38%,Yes,0.00,83.20%,-40.40%,0.80,22.14,Yes,0.00,Nov 08 AMC,-,1.66M,2.70,-2.74%,6.15%,11.09%"
"24,25,ACC,""American Campus Communities, Inc."",Real Estate,REIT - Residential,USA,7.77B,448.47,55.61,-0.71%,""891,816"",-,0.12,0.10%,139.07M,0.32%,85.16,167.62%,-18.15%,138.04M,0.52%,17.30M,13.95,0.26,96.40%,1.96%,7.73%,903.10M,8.61,-15.20%,-0.09%,3.84,13.88%,21.45,2.59,0.20%,60.38,29.27%,0.30,184.68,32.15%,0.60%,40.01 - 57.83,-2.93%,1.88,146.42,-12.80%,2.70%,-3.84%,1.02,3.38%,-,2.90%,50.10%,38.99%,0.87,2988,-,12.90%,14.90%,51.25,1.32% 1.44%,Yes,1.25,40.70%,1.90%,1.27,56.01,Yes,1.25,Oct 25 AMC,-,702.86K,1.90,-0.76%,1.89%,11.06%"
"25,26,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,18.22B,9.57,47.41,1.43%,""1,691,466"",-,4.96,0.20%,389.27M,5.19%,10.90,31.64%,119.20%,374.84M,7.90%,2.01B,0.18,0.82,-,0.64%,11.63%,8.93B,2.04,-14.20%,0.06%,1.46,28.76%,32.26,1.47,4.50%,50.42,36.67%,2.96,16.02,53.60%,16.10%,31.23 - 47.55,6.66%,-,5.81,19.50%,10.10%,-0.28%,0.91,-,-,16.30%,-,51.81%,0.89,4500,-,-8.70%,21.40%,75.81,2.11% 1.85%,Yes,0.22,-2.20%,22.50%,1.03,46.74,Yes,0.22,Oct 27 AMC,0.00%,1.64M,-,6.44%,9.33%,16.28%"
"26,27,ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,14.47B,17.55,14.34,-3.43%,""148,327"",-,0.82,-,680.91M,2.28%,-,-,-,591.77M,13.54%,556.60M,-,-,1.70%,0.02%,-20.20%,34.88B,0.41,-24.30%,-0.01%,0.69,-4.65%,13.23,1.08,1.80%,14.51,65.59%,1.75,8.19,-,6.40%,7.57 - 23.90,4.44%,-,5.92,25.50%,3.70%,-40.00%,1.79,-,0.50,8.50%,9.70%,89.43%,0.57,60763,0.90,27.10%,5.00%,52.97,3.35% 2.74%,Yes,1.52,393.90%,1.60%,0.86,14.85,Yes,0.97,-,0.00%,171.75K,-,2.70%,6.48%,-4.34%"
"27,28,ACHC,""Acadia Healthcare Company, Inc."",Healthcare,Medical Care Facilities,USA,5.32B,27.02,57.63,1.14%,""529,480"",-,2.13,0.10%,88.96M,2.25%,19.74,12.87%,0.00%,88.74M,-0.54%,190.80M,4.06,0.68,-,3.08%,1.30%,1.98B,2.69,169.00%,0.02%,6.41,-1.20%,27.37,2.11,-,75.50,13.58%,2.12,27.12,6.65%,-,48.62 - 68.65,-5.06%,-,-,-0.60%,5.30%,-16.05%,1.43,-,1.40,3.10%,-,18.53%,2.15,28600,1.40,-29.50%,-,47.65,4.12% 3.69%,Yes,0.59,74.70%,-,1.24,56.98,Yes,0.58,Oct 28 AMC,-,425.65K,2.10,-1.13%,-3.45%,-6.49%"
"28,29,ACI,""Albertsons Companies, Inc."",Consumer Defensive,Grocery Stores,USA,14.45B,24.79,30.94,-0.13%,""3,447,924"",-,1.25,0.50%,465.30M,-0.87%,12.20,-2.91%,0.00%,237.96M,2.69%,719.50M,-,0.59,58.60%,5.84%,8.33%,68.96B,0.21,-11.70%,0.05%,7.28,50.49%,4.21,7.35,2.70%,33.00,78.95%,6.10,5.07,-8.69%,45.30%,15.97 - 37.85,2.48%,0.48,10.11,23.00%,13.00%,-18.26%,-,1.55%,0.50,3.50%,29.00%,93.74%,1.43,300000,1.10,4.70%,1.80%,50.40,6.08% 3.85%,Yes,4.26,5.60%,1.00%,1.81,30.98,Yes,4.15,Jan 11 BMO,6.50%,1.91M,2.50,2.54%,-4.87%,18.84%"
"29,30,ACIW,""ACI Worldwide, Inc."",Technology,Software - Infrastructure,USA,4.13B,48.19,34.55,-0.55%,""690,559"",-,0.72,0.50%,117.51M,1.44%,26.68,15.11%,-3.33%,116.26M,3.23%,85.50M,4.02,0.97,98.40%,1.96%,10.74%,1.29B,3.20,8.80%,0.04%,2.71,-0.89%,10.17,3.40,2.60%,40.67,-10.14%,1.18,29.17,12.00%,7.20%,28.39 - 43.23,-0.43%,-,14.99,-3.10%,5.00%,-20.07%,1.11,-,1.30,4.40%,51.40%,21.70%,0.97,3768,1.30,0.30%,11.50%,53.84,3.24% 2.77%,Yes,0.90,-13.80%,6.60%,0.82,34.74,Yes,0.86,Nov 04 BMO,0.00%,839.63K,1.60,0.16%,4.08%,-0.62%"
"30,31,ACLS,""Axcelis Technologies, Inc."",Technology,Semiconductor Equipment & Materials,USA,2.50B,31.56,71.39,5.92%,""293,392"",-,2.26,2.40%,33.54M,3.96%,19.51,36.73%,-6.38%,32.69M,6.16%,77.60M,1.58,0.84,89.30%,2.92%,44.60%,578.90M,4.32,190.80%,-0.09%,2.21,109.60%,15.26,4.68,11.80%,79.33,104.44%,7.74,9.22,20.00%,15.70%,33.36 - 77.60,-4.25%,-,25.37,24.70%,9.80%,-8.00%,1.53,-,2.70,9.50%,43.20%,114.00%,3.90,1004,4.20,60.10%,16.40%,55.08,6.63% 5.42%,Yes,0.09,155.80%,13.40%,0.68,67.40,Yes,0.09,Nov 03 AMC,0.00%,431.80K,1.80,2.76%,8.68%,45.36%"
"31,32,ACM,AECOM,Industrials,Engineering & Construction,USA,10.68B,37.51,73.86,-0.89%,""464,955"",-,1.97,0.30%,143.81M,-0.85%,19.10,15.50%,-12.07%,140.44M,-1.12%,294.70M,2.05,0.76,88.60%,1.50%,16.31%,13.34B,0.80,83.70%,-0.04%,2.48,25.55%,18.86,3.92,1.40%,85.56,37.47%,8.50,8.69,18.29%,6.20%,49.34 - 78.62,-4.51%,0.60,18.80,26.20%,11.00%,-6.05%,1.49,0.81%,1.10,-5.20%,6.00%,49.70%,1.61,51000,1.10,-6.00%,4.70%,46.14,2.28% 2.14%,Yes,0.82,-,1.30%,0.55,74.52,Yes,0.80,Nov 15 BMO,0.00%,848.76K,1.60,-2.12%,0.79%,10.51%"
"32,33,ACN,Accenture plc,Technology,Information Technology Services,Ireland,237.18B,36.75,353.36,-2.22%,""3,771,812"",S&P 500,9.61,0.10%,632.28M,-4.69%,30.04,11.52%,-8.52%,631.25M,-5.85%,6.20B,2.99,2.39,73.80%,0.59%,3.38%,53.74B,4.41,16.00%,0.20%,1.65,14.29%,32.19,10.98,14.70%,434.09,39.31%,8.41,42.02,12.28%,32.00%,241.73 - 417.37,-14.76%,3.88,47.96,7.30%,29.90%,-15.34%,1.18,1.10%,1.20,7.70%,32.30%,46.18%,10.79,624000,1.20,27.20%,15.20%,32.33,3.33% 2.48%,Yes,0.00,19.70%,11.50%,1.66,361.37,Yes,0.00,Dec 16 BMO,36.90%,2.27M,-,-10.55%,-6.62%,7.69%"
